state,answer_set,facility_name,eligible_to_vote,count,n_respondents,pct_of_respondents
GA,all-surveys,"Bibb County Jail, GA",Yes,18,38,0.47368421052631576
NE,all-surveys,"Lancaster County, NE",Yes,18,40,0.45
NY,all-surveys,"Onondaga County-Justice Center, NY",Yes,18,25,0.72
PA,all-surveys,"Delaware County, PA",Yes,18,25,0.72
TX,all-surveys,"Guadalupe County, TX",Not sure,18,52,0.34615384615384615
WA,all-surveys,"Yakima County, WA",No,18,82,0.21951219512195122
CO,all-surveys,"Douglas Detention Center, CO",Yes,17,32,0.53125
FL,all-surveys,"Sarasota County, FL",No,17,48,0.3541666666666667
FL,all-surveys,"Sarasota County, FL",Yes,17,48,0.3541666666666667
GA,all-surveys,"Athens Clarke County Jail, GA",Not sure,17,52,0.3269230769230769
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Not sure,17,78,0.21794871794871795
MI,all-surveys,"Genesee County, MI",Yes,17,22,0.7727272727272727
MI,all-surveys,"Macomb County, MI",Not sure,17,54,0.3148148148148148
NC,all-surveys,"Cumberland County, NC",Not sure,17,72,0.2361111111111111
OH,all-surveys,"Summit County, OH",Yes,17,31,0.5483870967741935
PA,all-surveys,"Westmoreland County, PA",Not sure,17,57,0.2982456140350877
VA,all-surveys,"Arlington County Detention Center, VA",Yes,17,29,0.5862068965517241
CO,all-surveys,"Denver County Jail, CO",No,16,103,0.1553398058252427
GA,all-surveys,"Athens Clarke County Jail, GA",No,16,52,0.3076923076923077
MA,all-surveys,"Essex County Middleton HOC, MA",No,16,60,0.26666666666666666
MA,all-surveys,"Plymouth County Correctional Facility, MA",Yes,16,33,0.48484848484848486
MO,all-surveys,"Cape Girardeau County Jail, MO",Yes,16,49,0.32653061224489793
NC,all-surveys,"Cumberland County, NC",No,16,72,0.2222222222222222
NY,all-surveys,"Albany County Correctional Facility, NY",Not sure,16,71,0.22535211267605634
OH,all-surveys,"Lorain County, OH ",Yes,16,27,0.5925925925925926
TX,all-surveys,"Guadalupe County, TX",No,16,52,0.3076923076923077
TX,all-surveys,"Guadalupe County, TX",Yes,16,52,0.3076923076923077
VA,all-surveys,"Pamunkey Regional Jail, VA",No,16,38,0.42105263157894735
CA,all-surveys,"Alameda County-Santa Rita, CA",Yes,15,34,0.4411764705882353
CA,all-surveys,"Butte County, CA",Not sure,15,46,0.32608695652173914
FL,all-surveys,"Lee County, FL",No,15,38,0.39473684210526316
ME,all-surveys,"Two Bridges Regional, ME",Yes,15,18,0.8333333333333334
MI,all-surveys,"Livingston County, MI",Yes,15,25,0.6
NJ,all-surveys,"Bergen County, NJ",Yes,15,35,0.42857142857142855
NM,all-surveys,"Luna County Detention Center, NM",No,15,28,0.5357142857142857
